Name,Nationality,Team,Age,Skill Rating,Position,Number,Goals,Yellow Cards,Red Cards,Value,Energy
Matej Kovar,CZE,Bayer Leverkusen,24,66,GK,17,0,0,0,7000000,1
Lucas Hradecky,FIN,Bayer Leverkusen,35,73,GK,1,0,0,0,2000000,1
Niklas Lomb,DEU,Bayer Leverkusen,31,51,GK,36,0,0,0,250000,1
Luca Novodomsky,DEU,Bayer Leverkusen,19,39,GK,48,0,0,0,0,1
Piero Hincapie,ECU,Bayer Leverkusen,23,69,DF,3,0,0,0,50000000,1
Edmond Tapsoba,BFA,Bayer Leverkusen,26,74,DF,12,0,0,0,40000000,1
Jonathan Tah,GER,Bayer Leverkusen,29,76,DF,4,0,0,0,30000000,1
Jeanuel Belocian,FRA,Bayer Leverkusen,20,58,DF,44,0,0,0,15000000,1
Mario Hermoso,ESP,Bayer Leverkusen,29,72,DF,5,0,0,0,10000000,1
Alejandro Grimaldo,ESP,Bayer Leverkusen,29,79,DF,20,0,0,0,40000000,1
Nordi Mukiele,FRA,Bayer Leverkusen,27,71,DF,23,0,0,0,10000000,1
Arthur,BRA,Bayer Leverkusen,22,59,DF,13,0,0,0,7000000,1
Granit Xhaka,CHE,Bayer Leverkusen,32,76,MF,34,0,0,0,17000000,1
Robert Andrich,DEU,Bayer Leverkusen,30,70,MF,8,0,0,0,15000000,1
Exequiel Palacios,ARG,Bayer Leverkusen,26,74,MF,25,0,0,0,40000000,1
Aleix Garcia,ESP,Bayer Leverkusen,27,73,MF,24,0,0,0,20000000,1
Jeremie Frimpong,NLD,Bayer Leverkusen,24,75,MF,30,0,0,0,50000000,1
Nathan Tella,NGA,Bayer Leverkusen,25,68,MF,19,0,0,0,18000000,1
Florian Wirtz,DEU,Bayer Leverkusen,21,78,MF,10,0,0,0,140000000,1
Emiliano Buendia,ARG,Bayer Leverkusen,28,72,MF,16,0,0,0,18000000,1
Jonas Hoffmann,DEU,Bayer Leverkusen,32,75,MF,7,0,0,0,3000000,1
Amine Adli,MAR,Bayer Leverkusen,24,68,ST,21,0,0,0,22000000,1
Martin Terrier,FRA,Bayer Leverkusen,28,74,ST,11,0,0,0,17000000,1
Victor Boniface,NGA,Bayer Leverkusen,24,73,ST,22,0,0,0,45000000,1
