Name,Nationality,Team,Age,Skill Rating,Position,Number,Goals,Yellow Cards,Red Cards,Value
Marc-Andre ter Stegen,DEU,Barcelona ,32,88,GK,1,0,0,0,15000000
Inaki Pena,ESP,Barcelona ,26,66,GK,13,0,0,0,10000000
Wojciech Szczesny,POL,Barcelona ,34,78,GK,25,0,0,0,1000000
Pau Cubarsi,ESP,Barcelona ,18,55,DF,2,0,0,0,70000000
Ronald Araujo,URY,Barcelona ,26,85,DF,4,0,0,0,50000000
Andreas Christensen,DMK,Barcelona ,29,77,DF,15,0,0,0,15000000
Eric Garcia,ESP,Barcelona ,24,72,DF,24,0,0,0,15000000
Inigo Martinez,ESP,Barcelona ,33,73,DF,5,0,0,0,5000000
Alejandro Balde,ESP,Barcelona ,21,76,DF,3,0,0,0,60000000
Gerard Martin,ESP,Barcelona ,23,48,DF,35,0,0,0,7500000
Jules Kounde,FRA,Barcelona ,26,83,DF,23,0,0,0,60000000
Hector Fort,ESP,Barcelona ,18,53,DF,32,0,0,0,10000000
Marc Casado,ESP,Barcelona ,21,58,MF,17,0,0,0,30000000
Marc Bernal,ESP,Barcelona ,17,48,MF,28,0,0,0,5000000
Pedri,ESP,Barcelona ,22,83,MF,8,0,0,0,120000000
Gavi,ESP,Barcelona ,20,77,MF,6,0,0,0,70000000
Frankie de Jong,NLD,Barcelona ,27,83,MF,21,0,0,0,45000000
Dani Olmo,ESP,Barcelona ,26,83,MF,20,0,0,0,60000000
Fermin Lopez,ESP,Barcelona ,21,65,MF,16,0,0,0,50000000
Pablo Torre,ESP,Barcelona ,22,65,MF,14,0,0,0,7500000
Raphinha,BRA,Barcelona ,28,77,ST,11,0,0,0,80000000
Ansu Fati,ESP,Barcelona ,22,77,ST,10,0,0,0,5000000
Lamine Yamal,ESP,Barcelona ,17,68,ST,19,0,0,0,180000000
Ferran Torres,ESP,Barcelona ,25,75,ST,7,0,0,0,28000000
Robert Lewandowski,POL,Barcelona ,36,90,ST,9,0,0,0,15000000
Pau Victor,ESP,Barcelona ,23,60,ST,18,0,0,0,5000000
Unai Simon,ESP,Athletic Bilbao,27,79,GK,1,0,0,0,28000000
Julen Agirrezabala,ESP,Athletic Bilbao,24,68,GK,13,0,0,0,15000000
Dani Vivian,ESP,Athletic Bilbao,25,74,DF,3,0,0,0,40000000
Aitor Paredes,ESP,Athletic Bilbao,24,65,DF,4,0,0,0,22000000
Yeray Alvarez,ESP,Athletic Bilbao,30,68,DF,5,0,0,0,7500000
Unai Nunez,ESP,Athletic Bilbao,28,68,DF,14,0,0,0,3000000
Adama Boiro,ESP,Athletic Bilbao,22,51,DF,32,0,0,0,2500000
Yuri Berchiche,ESP,Athletic Bilbao,35,70,DF,17,0,0,0,1500000
Andoni Gorosabel,ESP,Athletic Bilbao,28,68,DF,2,0,0,0,5000000
Inigo Lekue,ESP,Athletic Bilbao,31,68,DF,15,0,0,0,2500000
Oscar de Marcos,ESP,Athletic Bilbao,36,69,DF,18,0,0,0,1500000
Mikel Vesga,ESP,Athletic Bilbao,32,72,MF,6,0,0,0,3000000
