Name,Short Name,Location,Stadium Name,Wins,Draws,Losses,Goals,Con Goals,Funds,Facility Rating,Points,Stadium Capacity,Image FIle Name
Arsenal ,ARS,London,Emirates Stadium,0,0,0,0,0,6000000,19,0,60704,teamImgs/arsenalFC.png
Aston Villa ,AVL,Aston,Villa Park,0,0,0,0,0,0,20,0,42777,teamImgs/astonVillaFC.png
Bournemouth,BOU,Bournemouth,Vitality Stadium,0,0,0,0,0,0,13,0,11464,teamImgs/AFCBournemouth.png
Brentford ,BRE,London,Brentford Community Stadium,0,0,0,0,0,23000000,11,0,17250,teamImgs/brentfordFC.png
Brighton ,BHA,Falmer,American Express Stadium,0,0,0,0,0,70000000,18,0,31800,teamImgs/brightonAHAFC.png
Chelsea,CHE,London,Stamford Bridge,0,0,0,0,0,0,20,0,41837,teamImgs/chelseaFC.png
Crystal Palace ,CRY,London,Selhurst Park,0,0,0,0,0,600000,15,0,25486,teamImgs/crystalPalaceFC.png
Everton ,EVE,Liverpool,Everton Stadium,0,0,0,0,0,0,19,0,52888,teamImgs/evertonFC.png
Fulham ,FUL,London,Craven Cottage,0,0,0,0,0,20000000,16,0,25700,teamImgs/fulhamFC.png
Ipswich,IPS,Ipswich,Portman Road,0,0,0,0,0,200000,14,0,30311,teamImgs/ipswichTownFC.png
Leicester,LEI,Leicester,King Power Stadium,0,0,0,0,0,0,20,0,32312,teamImgs/leicesterCityFC.png
Liverpool ,LIV,Liverpool,Anfield,0,0,0,0,0,64000000,20,0,50109,teamImgs/liverpoolFC.png
Manchester City ,MCI,Manchester,Etihad Stadium,0,0,0,0,0,31000000,20,0,53400,teamImgs/manchesterCityFC.png
Manchester Utd,MNU,Manchester,Old Trafford,0,0,0,0,0,1000000,17,0,74031,teamImgs/manchesterUnitedFC.png
Newcastle ,NEW,Newcastle,St. James' Park,0,0,0,0,0,4000000,15,0,52404,teamImgs/newcastleUnitedFC.png
Nottingham,NOT,West Bridgford,City Ground,0,0,0,0,0,0,13,0,30576,teamImgs/nottinghamForestFC.png
Southampton ,SOU,Southampton,St. Mary's Stadium,0,0,0,0,0,20000000,19,0,32384,teamImgs/southamptonFC.png
Tottenham,TOT,London,Tottenham Hotspur Stadium,0,0,0,0,0,6000000,20,0,62850,teamImgs/tottenhamHotspurFC.png
West Ham ,WHU,London,London Stadium,0,0,0,0,0,29000000,14,0,62500,teamImgs/westHamUnitedFC.png
Wolves,WOL,Wolverhampton,Molineux,0,0,0,0,0,4000000,17,0,31750,teamImgs/wolverhamptonWanderersFC.png
