Name,Nationality,Team,Age,Skill Rating,Position,Number,Goals,Yellow Cards,Red Cards,Value,Energy
Marc-Andre ter Stegen,DEU,Barcelona ,32,88,GK,1,0,0,0,15000000,1
Inaki Pena,ESP,Barcelona ,26,66,GK,13,0,0,0,10000000,1
Wojciech Szczesny,POL,Barcelona ,34,78,GK,25,0,0,0,1000000,1
Pau Cubarsi,ESP,Barcelona ,18,55,DF,2,0,0,0,70000000,1
Ronald Araujo,URY,Barcelona ,26,85,DF,4,0,0,0,50000000,1
Andreas Christensen,DMK,Barcelona ,29,77,DF,15,0,0,0,15000000,1
Eric Garcia,ESP,Barcelona ,24,72,DF,24,0,0,0,15000000,1
Inigo Martinez,ESP,Barcelona ,33,73,DF,5,0,0,0,5000000,1
Alejandro Balde,ESP,Barcelona ,21,76,DF,3,0,0,0,60000000,1
Gerard Martin,ESP,Barcelona ,23,48,DF,35,0,0,0,7500000,1
Jules Kounde,FRA,Barcelona ,26,83,DF,23,0,0,0,60000000,1
Hector Fort,ESP,Barcelona ,18,53,DF,32,0,0,0,10000000,1
Marc Casado,ESP,Barcelona ,21,58,MF,17,0,0,0,30000000,1
Marc Bernal,ESP,Barcelona ,17,48,MF,28,0,0,0,5000000,1
Pedri,ESP,Barcelona ,22,83,MF,8,0,0,0,120000000,1
Gavi,ESP,Barcelona ,20,77,MF,6,0,0,0,70000000,1
Frankie de Jong,NLD,Barcelona ,27,83,MF,21,0,0,0,45000000,1
Dani Olmo,ESP,Barcelona ,26,83,MF,20,0,0,0,60000000,1
Fermin Lopez,ESP,Barcelona ,21,65,MF,16,0,0,0,50000000,1
Pablo Torre,ESP,Barcelona ,22,65,MF,14,0,0,0,7500000,1
Raphinha,BRA,Barcelona ,28,77,ST,11,0,0,0,80000000,1
Ansu Fati,ESP,Barcelona ,22,77,ST,10,0,0,0,5000000,1
Lamine Yamal,ESP,Barcelona ,17,68,ST,19,0,0,0,180000000,1
Ferran Torres,ESP,Barcelona ,25,75,ST,7,0,0,0,28000000,1
Robert Lewandowski,POL,Barcelona ,36,90,ST,9,0,0,0,15000000,1
Pau Victor,ESP,Barcelona ,23,60,ST,18,0,0,0,5000000,1
Unai Simon,ESP,Athletic Bilbao,27,79,GK,1,0,0,0,28000000,1
Julen Agirrezabala,ESP,Athletic Bilbao,24,68,GK,13,0,0,0,15000000,1
Dani Vivian,ESP,Athletic Bilbao,25,74,DF,3,0,0,0,40000000,1
Aitor Paredes,ESP,Athletic Bilbao,24,65,DF,4,0,0,0,22000000,1
Yeray Alvarez,ESP,Athletic Bilbao,30,68,DF,5,0,0,0,7500000,1
Unai Nunez,ESP,Athletic Bilbao,28,68,DF,14,0,0,0,3000000,1
Adama Boiro,ESP,Athletic Bilbao,22,51,DF,32,0,0,0,2500000,1
Yuri Berchiche,ESP,Athletic Bilbao,35,70,DF,17,0,0,0,1500000,1
Andoni Gorosabel,ESP,Athletic Bilbao,28,68,DF,2,0,0,0,5000000,1
Inigo Lekue,ESP,Athletic Bilbao,31,68,DF,15,0,0,0,2500000,1
Oscar de Marcos,ESP,Athletic Bilbao,36,69,DF,18,0,0,0,1500000,1
Mikel Vesga,ESP,Athletic Bilbao,32,72,MF,6,0,0,0,3000000,1
Mikel Jauregizar,ESP,Athletic Bilbao,21,43,MF,23,0,0,0,20000000,1
Benat Prados,ESP,Athletic Bilbao,24,60,MF,24,0,0,0,18000000,1
Inigo Ruiz de Galarreta,ESP,Athletic Bilbao,31,70,MF,16,0,0,0,4000000,1
Oihan Sancet,ESP,Athletic Bilbao,24,74,MF,8,0,0,0,60000000,1
Unai Gomez,ESP,Athletic Bilbao,21,61,MF,20,0,0,0,6000000,1
Peio Canales,ESP,Athletic Bilbao,20,44,MF,28,0,0,0,500000,1
Nico Williams,ESP,Athletic Bilbao,22,78,ST,10,0,0,0,70000000,1
Alex Berenguer,ESP,Athletic Bilbao,29,70,ST,7,0,0,0,12000000,1
Alvaro Djalo,ESP,Athletic Bilbao,25,67,ST,11,0,0,0,8000000,1
Inaki Williams,ESP,Athletic Bilbao,30,80,ST,9,0,0,0,20000000,1
Gorka Guruzeta,ESP,Athletic Bilbao,28,65,ST,12,0,0,0,12000000,1
Maroan Sannadi,ESP,Athletic Bilbao,24,43,ST,21,0,0,0,5000000,1
Jan Oblak,SVN,Atletico Madrid,32,86,GK,13,0,0,0,25000000,1
Juan Musso,ARG,Atletico Madrid,30,68,GK,1,0,0,0,4000000,1
Robin Le Normand,ESP,Atletico Madrid,28,75,DF,24,0,0,0,40000000,1
Jose Maria Gimenez,URY,Atletico Madrid,30,75,DF,2,0,0,0,20000000,1
Clement Lenglet,FRA,Atletico Madrid,29,70,DF,15,0,0,0,7500000,1
Axel Witsel,BEL,Atletico Madrid,36,74,DF,20,0,0,0,2500000,1
Cesar Azpilicueta,ESP,Atletico Madrid,35,71,DF,3,0,0,0,1800000,1
Reinildo Mandava,MOZ,Atletico Madrid,31,73,DF,23,0,0,0,8000000,1
Javi Galan,ESP,Atletico Madrid,30,71,DF,21,0,0,0,4000000,1
Nahuel Molina,ARG,Atletico Madrid,27,75,DF,16,0,0,0,25000000,1
Pablo Barrios,ESP,Atletico Madrid,21,66,MF,8,0,0,0,50000000,1
Conor Gallagher,ENG,Atletico Madrid,25,75,MF,4,0,0,0,40000000,1
Rodrigo De Paul,ARG,Atletico Madrid,30,77,MF,5,0,0,0,25000000,1
Koke ,ESP,Atletico Madrid,33,79,MF,6,0,0,0,10000000,1
Marcos Llorente,ESP,Atletico Madrid,30,76,MF,14,0,0,0,28000000,1
Thomas Lemar,FRA,Atletico Madrid,29,74,MF,11,0,0,0,5000000,1
Samuel Lino,BRA,Atletico Madrid,25,74,ST,12,0,0,0,25000000,1
Rodrigo Riquelme,ESP,Atletico Madrid,25,71,ST,17,0,0,0,18000000,1
Giuliano Simeone,ARG,Atletico Madrid,22,61,ST,22,0,0,0,25000000,1
Angel Correa,ARG,Atletico Madrid,30,75,ST,10,0,0,0,15000000,1
Julian Alvarez,ARG,Atletico Madrid,25,77,ST,19,0,0,0,90000000,1
Alexander Sorloth,NOR,Atletico Madrid,29,73,ST,9,0,0,0,25000000,1
Antoine Griezmann,FRA,Atletico Madrid,34,86,ST,7,0,0,0,22000000,1
Sergio Herrera,ESP,Osasuna,31,66,GK,1,0,0,0,4000000,1
Aitor Fernandez,ESP,Osasuna,33,69,GK,13,0,0,0,1500000,1
Enzo Boyomo,CMR,Osasuna,23,40,DF,22,0,0,0,20000000,1
