Name,Nationality,Team,Age,Skill Rating,Position,Number,Goals,Yellow Cards,Red Cards,Value,Energy
Marco Carnesecchi,ITA,Atalanta ,24,68,GK,29,0,0,0,25000000,1
Rui Patricio,PRT,Atalanta ,37,70,GK,28,0,0,0,1000000,1
Francesco Rossi,ITA,Atalanta ,33,54,GK,31,0,0,0,100000,1
Giorgo Scalvini,ITA,Atalanta ,21,73,DF,42,0,0,0,35000000,1
Isak Hien,SWE,Atalanta ,26,66,DF,4,0,0,0,30000000,1
Odilion Kossounou,CIV,Atalanta ,24,70,DF,3,0,0,0,25000000,1
Stefan Posch,AUT,Atalanta ,27,70,DF,5,0,0,0,10000000,1
Sead Kolanisac,BIH,Atalanta ,31,71,DF,23,0,0,0,10000000,1
Berat Djimsiti,ALB,Atalanta ,32,71,DF,19,0,0,0,8000000,1
Rafael Toloi,ITA,Atalanta ,34,70,DF,2,0,0,0,1500000,1
Marten de Roon,NLD,Atalanta ,34,73,MF,15,0,0,0,7000000,1
Ibrahim Sulemana,GHA,Atalanta ,21,62,MF,6,0,0,0,6000000,1
Ederson,BRA,Atalanta ,25,75,MF,13,0,0,0,50000000,1
Lazar Samardzic,SRB,Atalanta ,23,72,MF,24,0,0,0,20000000,1
Mario Pasalic,HRV,Atalanta ,30,71,MF,8,0,0,0,13000000,1
Marco Brescianini,ITA,Atalanta ,25,63,MF,44,0,0,0,8000000,1
Raoul Bellanova,ITA,Atalanta ,24,69,MF,16,0,0,0,22000000,1
Davide Zappacosta,ITA,Atalanta ,32,70,MF,77,0,0,0,6000000,1
Marco Palestra,ITA,Atalanta ,20,54,MF,27,0,0,0,3000000,1
Juan Cuadrado,COL,Atalanta ,36,70,MF,7,0,0,0,1000000,1
Matteo Ruggeri,ITA,Atalanta ,22,71,MF,22,0,0,0,20000000,1
Charles De Ketelaere,BEL,Atalanta ,24,74,MF,17,0,0,0,38000000,1
Daniel Maldini,ITA,Atalanta ,23,58,MF,70,0,0,0,10000000,1
Ademola Lookman,NGA,Atalanta ,27,75,ST,11,0,0,0,60000000,1
Mateo Retegui,ITA,Atalanta ,25,70,ST,32,0,0,0,45000000,1
Gianluca Scamacca,ITA,Atalanta ,26,72,ST,9,0,0,0,24000000,1
Lukasz Skorupski,POL,Bologna,33,68,GK,1,0,0,0,2500000,1
Federico Ravaglia,ITA,Bologna,25,61,GK,34,0,0,0,1000000,1
Nicola Bagnolini,ITA,Bologna,21,42,GK,23,0,0,0,200000,1
Sam Beukema,NLD,Bologna,26,68,DF,31,0,0,0,25000000,1
Jhon Lucumi,COL,Bologna,26,69,DF,26,0,0,0,18000000,1
Nicolo Casale,ITA,Bologna,27,68,DF,15,0,0,0,7000000,1
Martin Erlic,HRV,Bologna,27,67,DF,5,0,0,0,5000000,1
Juan Miranda,ESP,Bologna,25,67,DF,33,0,0,0,11000000,1
Charalampos Lykogiannis,GRC,Bologna,31,62,DF,22,0,0,0,1500000,1
Emil Holm,SWE,Bologna,24,67,DF,2,0,0,0,8000000,1
Davide Calabria,ITA,Bologna,28,73,DF,14,0,0,0,7500000,1
Lorenzo De Silvestri,ITA,Bologna,36,64,DF,29,0,0,0,400000,1
